URL,Indexed
https://www.letenyemedia.hu/2-uncategorised/298-egy-teljesen-masfajta-foci-vilagbajnoksag-var-rank-2026-ban,False
https://www.borsod24.hu/2023/04/25/sportfogadasi-utmutato-kezdoknek-magyarorszagon/,False
https://www.minuszos.hu/2023-ban-is-toretlen-a-mobil-jatekok-nepszerusege/,True
https://www.borsodihir.hu/gazdasag/2023/03/ezert-lehetnek-hasznosak-a-promocios-kodok,False
https://www.hotdog.hu/e-sport-jatek-egyeseknek-hobbi-masoknak-hivatas/,True
https://www.budaorsinaplo.hu/online-jatekok-baratokkal-vagy-egyedul/,False
https://www.inforabakoz.hu/hirek/olvas/a-3-legjobb-magyar-film-a-netflixen-2023-03-20-180000,True
https://www.bdpst24.hu/elstartolt-a-tavaszi-ideny-ki-lesz-a-magyar-nb-i-gy/,False
https://www.gyulaihirlap.hu/148937-a-legjobb-noi-focistak,True
https://www.borsod24.hu/2023/01/02/ime-harom-kihagyhatatlan-applikacio-sportorulteknek/,False
https://www.borsodihir.hu/tech/2022/11/igy-vedjuk-szemelyes-adatainkat-az-online-terben,False
http://www.godolloihirek.hu/cikkek/2023/02/26/sport/melyek-a-legjobb-sport-applikaciok-otthoni-edzeshez,False
https://www.minuszos.hu/a-discovery-sports-esemenyeihez-a-metaverzumban-lehet-kapcsolodni/,True
http://www.varkapu.info/egyeb/technikak-amelyekkel-novelheted-szerencsedet/,False
https://www.bitcoinbazis.hu/tenyleg-itt-a-bitcoin-vege/,True
https://www.koronafm100.hu/sport-appok-sportorulteknek-ezeket-hasznald-2023-ban/,True
https://www.fuhu.hu/videki-parasztok-kinizsi-dozsa-a-fovarosi-fociklubok-rivalizalasanak-tortenete/,False
https://www.hotdog.hu/mitol-lettek-ilyen-nepszeruek-az-e-sport-jatekok/,True
https://www.hogyankell.hu/e-sportokat_játszani,False
https://www.letenyemedia.hu/cikkek/eletmod/szabaduszo-eletforma--neked-valo--vagy-sem--.html,True
http://www.lovasok.hu/kikapcsolodas/focistak-kedvelik-lovakat/,True
https://www.letenyemedia.hu/cikkek/eletmod/itt-az-inflacio--de-mibe-fektessuk-megtakaritott-penzunket-.html,True
https://www.infoesztergom.hu/hirek/olvas/a-legtobb-nezot-vonzo-sportesemenyek-vilagszerte-2023-02-25-091159,False
https://www.szabolcsihir.hu/eletmod/2022/09/szabalyozottabb-lesz-az-online-szerencsejatek-ujevtol-magyarorszagon,False
https://www.dorogimedence.hu/index.php/2022/11/29/a-2022-es-foci-vilagbajnoksag-legertekesebb-csapatai/,False
https://www.eszakhirnok.com/2022/10/31/jatsszunk-klasszikus-tarsasjatekokat-mobilon/,True
https://www.budaorsinaplo.hu/online-videojatekok-regisztracios-bonusszal/,False
https://www.bahir.hu/2023/02/26/e-sport-tippek-kezdoknek-hogyan-kezdjek-neki-az-ilyen-jatekoknak/,False
http://www.haromhatar.hu/index.php/eletmod/19630-az-e-sport-tortenete-miota-lett-ilyen-nepszeru-ez-a-jatekforma.html,False
https://www.vajma.info/cikk/magazin/13235/filmek-amelyekben-megelevenedik-a-szerencsejatek-vilaga.html,True
https://www.formula.hu/f1/2022/12/18/hamilton-erzi-magan-a-celtablat-de-nem-banja,False
https://www.infopapa.hu/hirek/olvas/a-nagy-forma-1-es-bajnokok-sikertortenetei-schumachertol-hamiltonig-2023-04-21-135506,True
https://www.hirextra.hu/2021/11/30/milyen-valtozasokon-mentek-keresztul-az-online-kaszinok-az-elmult-evekben/,True
https://www.formula.hu/f1/2022/12/29/nincs-tul-jo-kapcsolatom-alonsoval-vettel-szerint-nagyon-mas-emberek-a-spanyollal,False
https://www.infoesztergom.hu/hirek/olvas/bejelentettek-a-2022-es-tour-de-france-teljes-utvonalat-2022-06-09-095002,False
https://www.letenyemedia.hu/cikkek/eletmod/megtakaritani--befektetni--vagy-remenykedni--az-itt-a-kerdes.html,True
https://www.varosikurir.hu/500-milliard-forintot-nyertunk-tavaly-szerencsejatekon/,False
https://www.autopro.hu/trend/ide-vagynak-a-motorversenyzok---lesz-e-magyar-a-csucson/688065?x-craft-preview=cqd8obexzu&token=wmz7bqa2lyizbp5v2v239c9tqvdxhnt0,False
https://www.borsod24.hu/2022/06/30/a-legjobb-sportfogadasi-lehetosegek-focirajongok-szamara/,False
https://www.gyulaihirlap.hu/147571-a-legnepszerubb-sport-applikaciok-te-hogyan-hozod-,True
http://www.godolloihirek.hu/cikkek/2023/03/21/sport/a-legrosszabb-versenylovak-a-profi-sport-torteneteben,False
https://www.hirextra.hu/2021/11/30/milyen-valtozasokon-mentek-keresztul-az-online-kaszinok-az-elmult-evekben/,True
https://www.koronafm100.hu/magyarorszagon-is-hatalmas-forgalmat-general-az-e-sport-piac/,False
https://www.gyulaihirlap.hu/149592-a-ferencvaros-es-az-ujpest-fc-rangadok-tortenete-e,True
https://www.bdpst24.hu/mi-a-helyes-mediafogyasztas-frissesseg-vagy-uj-csoma/,False
